Time,Cur.,Imp.,Event,Actual,Forecast,Previous
"Wednesday, November 5, 2025   10:30",USD,,Crude Oil Imports,,,-1.025M
"Wednesday, November 5, 2025   10:30",USD,,Cushing Crude Oil Inventories,,,1.334M
"Wednesday, November 5, 2025   10:30",USD,,Distillate Fuel Production,,,-0.134M
"Wednesday, November 5, 2025   10:30",USD,,EIA Weekly Distillates Stocks,,,-3.362M
"Wednesday, November 5, 2025   10:30",USD,,Gasoline Production,,,-0.004M
"Wednesday, November 5, 2025   10:30",USD,,Heating Oil Stockpiles,,,0.049M
"Wednesday, November 5, 2025   10:30",USD,,EIA Weekly Refinery Utilization Rates (WoW),,,-2.0%
"Wednesday, November 5, 2025   10:30",USD,,Gasoline Inventories,,,-5.941M
"Wednesday, November 5, 2025   11:10",GBP,,BoE Breeden Speaks,,,
"Wednesday, November 5, 2025   12:30",BRL,,Foreign Exchange Flows,,,0.513B
"Wednesday, November 5, 2025   13:00",USD,,U.S. President Trump Speaks,,,
"Wednesday, November 5, 2025   15:55",RUB,,Budget Balance % of GDP  (Oct),,,-1.70%
"Wednesday, November 5, 2025   16:30",CAD,,BoC Gov Macklem Speaks,,,
"Wednesday, November 5, 2025   16:30",BRL,,Interest Rate Decision,,15.00%,15.00%
"Wednesday, November 5, 2025   18:00",KRW,,Current Account  (Sep),,,9.15B
"Wednesday, November 5, 2025   18:30",JPY,,Overall wage income of employees  (Sep),,1.9%,1.5%
"Wednesday, November 5, 2025   18:30",JPY,,Overtime Pay (YoY)  (Sep),,,0.40%
"Wednesday, November 5, 2025   19:00",JPY,,Reuters Tankan Index  (Nov),,,8
"Wednesday, November 5, 2025   19:30",AUD,,Exports (MoM)  (Sep),,,-7.8%
"Wednesday, November 5, 2025   19:30",AUD,,Imports (MoM)  (Sep),,,3.2%
"Wednesday, November 5, 2025   19:30",AUD,,Trade Balance  (Sep),,3.930B,1.825B
"Wednesday, November 5, 2025   19:30",JPY,,Manufacturing & Services PMI  (Oct),,50.90,50.90
"Wednesday, November 5, 2025   19:30",JPY,,au Jibun Bank Services PMI  (Oct),,52.4,53.3
